bookID,title,authors
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré
4,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling
5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré
8,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré
9,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman
10,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling
12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams
13,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams
14,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams
16,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry
18,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams
21,A Short History of Nearly Everything,Bill Bryson
22,Bill Bryson's African Diary,Bill Bryson
23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson
24,In a Sunburned Country,Bill Bryson
25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson
26,The Lost Continent: Travels in Small Town America,Bill Bryson
27,Neither Here nor There: Travels in Europe,Bill Bryson
28,Notes from a Small Island,Bill Bryson
29,The Mother Tongue: English and How It Got That Way,Bill Bryson
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien
31,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien
34,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien
35,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee
36,The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor
37,The Lord of the Rings: Complete Visual Companion,Jude Fisher
45,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz
50,Hatchet (Brian's Saga  #1),Gary Paulsen
51,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles
53,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen
54,Molly Hatchet - 5 of the Best,Molly Hatchet
55,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck
57,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati
58,Changeling (Changeling  #1),Delia Sherman
59,The Changeling Sea,Patricia A. McKillip
61,The Changeling,Zilpha Keatley Snyder
63,The Changeling,Kate Horsley
66,The Changeling (Daughters of England  #15),Philippa Carr
67,The Known World,Edward P. Jones
68,The Known World,Edward P. Jones/Kevin R. Free
69,The Known World,Edward P. Jones
71,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das
72,Artesia: Adventures in the Known World,Mark Smylie
74,The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth
75,Uncommon Carriers,John McPhee
76,Heirs of General Practice,John McPhee
77,The Control of Nature,John McPhee
78,Annals of the Former World,John McPhee
79,Coming Into the Country,John McPhee
80,La Place de la Concorde Suisse,John McPhee
81,Giving Good Weight,John McPhee
83,Rising from the Plains,John McPhee
85,The Heidi Chronicles,Wendy Wasserstein
86,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein
89,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs
90,Simply Beautiful Beaded Jewelry,Heidi Boyd
91,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker
92,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs
93,Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi
94,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs
96,There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker
98,What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome
99,The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge
100,Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd
103,God Emperor of Dune (Dune Chronicles  #4),Frank Herbert
105,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert
106,Dune Messiah (Dune Chronicles #2),Frank Herbert
107,Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert
109,Heretics of Dune (Dune Chronicles  #5),Frank Herbert
110,The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson
117,Heretics of Dune (Dune Chronicles #5),Frank Herbert
119,The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell
122,The Power of One (The Power of One  #1),Bryce Courtenay
123,The Power of One (The Power of One  #1),Bryce Courtenay
129,The Power of One: One Person  One Rule  One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington
130,Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani
131,The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron
132,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg
133,eBay for Dummies,Marsha Collier
